"","sp1_common","sp1_scientific","sp1_tax_res","sp1_tax_group","sp1_lifestage","sp2_common","sp2_scientific","sp2_tax_res","sp2_tax_group","sp2_lifestage","effect_sp1_on_sp2","effect_sp2_on_sp1","interaction","interaction_strength","interaction_freq_count","interaction_freq_percent","time_of_year","year","elevation","vertical_strata","latitude","longitude","location_description","habitat_description","source_citation","source_URL","text_excerpt_occ","text_excerpt_ixn","raw_data","name_changes","other_sp1","comments","occ_freq","raw_data_ID","sp1_gbif","sp2_gbif"
"51","Mountain Lion","Puma concolor","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"September",2010,NA,NA,10.428270631,-84.0056485105,"positional accuracy = 194 m",NA,NA,"https://www.inaturalist.org/observations/14071150",NA,NA,NA,NA,NA,NA,NA,NA,"Puma concolor",NA
"52","Jaguar","Panthera onca","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March",2009,NA,NA,10.2056512306,-84.0081256066,"positional accuracy = 1842 m",NA,NA,"http://www.inaturalist.org/observations/4116862",NA,NA,NA,NA,NA,NA,NA,NA,"Panthera onca",NA
"53","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"April",2010,NA,NA,10.43067,-84.007645,"positional accuracy = 676 m",NA,NA,"http://www.inaturalist.org/observations/3958138",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"54","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"July",2016,NA,NA,10.4026069219,-84.1074506261,"positional accuracy = 4 m",NA,NA,"http://www.inaturalist.org/observations/3868487",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"55","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"July",2016,NA,NA,10.4232682,-84.0220298,"positional accuracy = 4296 m",NA,NA,"http://www.inaturalist.org/observations/3687044",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"56","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"July",2016,NA,NA,10.4308441037,-84.0236517414,"positional accuracy = 2064 m",NA,NA,"http://www.inaturalist.org/observations/3684228",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"57","Ocelot","Leopardus pardalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"July",2016,NA,NA,10.4232682,-84.0220298,"positional accuracy = 4296 m",NA,NA,"http://www.inaturalist.org/observations/3674387",NA,NA,NA,NA,NA,NA,NA,NA,"Leopardus pardalis",NA
"58","Mountain Lion","Puma concolor","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March",2016,NA,NA,10.4232682,-84.0220298,"positional accuracy = 2441 m",NA,NA,"http://www.inaturalist.org/observations/3306476",NA,NA,NA,NA,NA,NA,NA,NA,"Puma concolor",NA
"59","Mountain Lion","Puma concolor","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March",2013,NA,NA,10.431345,-84.009919,"positional accuracy = 903 m",NA,NA,"http://www.inaturalist.org/observations/2670324",NA,NA,NA,NA,NA,NA,NA,NA,"Puma concolor",NA
"60","Argentine Serotine","Neoeptesicus furinalis","species","mammal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"January",2026,NA,NA,10.4066963985,-84.0116476979,"positional accuracy = 122 m",NA,NA,"https://www.inaturalist.org/observations/336941588",NA,NA,NA,NA,NA,NA,NA,NA,"Neoeptesicus",NA
